612,We can lift the restrictions on imports once the joint agreement is signed.,There is very little probability of an agreement being reached.,Our views are in agreement with theirs as to the essential points.
613,Global agricultural output was expanding.,It was an agricultural area.,Tom went to an agricultural school.
614,Biotechnology will bring about a revolution in agriculture.,The country's economy depends on agriculture.,Some day man will reclaim the desert for agriculture.
615,You can get ahead in the world.,I hope you have a happy future ahead of you.,Your ideas are ahead of the times.
616,"If it had not been for your aid, I would not have succeeded in my business.",The House cut the budget for foreign aid.,I need first aid.
617,We must achieve our aim at any price.,"The primary aim of science is to find truth, new truth.",Take steady aim at the tiger.
618,The newspaper company has ten aircraft.,That aircraft company deals in freight only.,This aircraft company deals with freight only.
619,Corsairfly is an airline based in Paris.,"Now, you ask me if I've flown a major airline.",They are a good airline to fly with.
620,Send it by airmail.,Send this by airmail.,This is the letter sent from Hong Kong by airmail.
621,The Wright brothers succeeded in flying an airplane driven by an engine.,"If I go by air one more time, I'll have flown in an airplane five times.",The pilot landed the airplane in the field.
622,You needn't have hurried to the airport.,Where can I get a shuttle bus at the airport?,I'll drive you to the airport.
623,His seat in the plane was on the aisle.,Where's the aisle for vitamins?,They're in aisle two.
624,The fire alarm sounded.,The fire alarm rang.,"In case you sleep, set the alarm."
625,There is an album on the desk.,Damon showed me his stamp album.,You should stick those pictures in your album.
626,When can one say that a person has alcohol issues?,"I prefer cakes or candies to alcohol, but I do drink.",Driving after drinking alcohol is not acceptable behavior.
627,You should be alert to the possible dangers.,We must be alert to dangers.,The climber stayed alert while climbing the precipice.
628,An Englishman is an alien in the United States.,It had an effect alien from the one intended.,The concept is quite alien to our way of thinking.
629,"Much as we resemble one another, none of us are exactly alike.",Paul has three sons. They look very much alike.,They are all alike.
630,All you can do is trust one another.,"""When will you be back?"" ""It all depends on the weather.""",It is not rare at all to live over ninety years.
631,,,
632,I'm allergic to fish.,I'm allergic to pollen.,He is allergic to house dust.
633,"When I have migraines, aspirin doesn't alleviate the pain for me.",This medicine will alleviate the pain.,Sami took medication to alleviate pain.
634,Japan entered into an alliance with France just before the war.,Germany made an alliance with Italy.,He argued for our forming the alliance with that nation.
635,Germany was once allied with Italy.,Germany was allied with Italy in World War II.,Coal is chemically allied to diamonds.
636,Allocate a room for research purposes.,A committee of experts determines how to allocate the money.,The Algerian government needs to allocate more funds for local development.
637,Excuse me; allow me to point out three errors in the above article.,You must allow for his youth.,I will not allow you to be ill-treated.
638,You must make allowance for his lack of experience.,I'm going to give you a year's worth of allowance all at once.,My allowance does not pay for my tuition.
639,Brass is an alloy of copper and zinc.,Cast iron is an alloy of iron and carbon.,No joy without alloy.
640,Let's ally ourselves to that group.,The country kept faith with her ally.,Tom is my ally at the company.
641,It's because you don't want to be alone.,Every person who is alone is alone because they are afraid of others.,"When I was a child, I would spend hours reading alone in my room."
642,Houses were lined up alongside the highway.,The boat was alongside the quay.,The two houses stand alongside of each other.
643,Reading aloud was a great effort for him.,You ought to read English aloud.,Please read it aloud so that everyone can hear.
644,The English alphabet has 26 letters.,"In this secret code, each number stands for a letter of the alphabet.",Say the alphabet backwards.
645,There are also nightclubs where you dance flamenco.,Does it also work without registration?,You must read this book also.
646,The slave was anxious to alter his destiny.,As the artist grows older his paintings may alter.,I have to alter my clothes because I've lost weight.
647,,,
648,Odd numbers alternate with even ones.,Write on alternate lines.,There are pictures on alternate pages of the book.
649,Is there no alternative to what you propose?,We are faced with the alternative of resistance or slavery.,We have the alternative of going or staying.
650,"Although her house is nearby, I seldom see her.","Although teachers give a lot of advice, students don't always take it.","Although it rained, everyone had a good time."
651,"We are cruising at an altitude of 39,000 feet.","The plane climbed to an altitude of 10,000 meters.",What is the altitude of the plateau?
652,Only by prohibiting nuclear weapons altogether can we stop the arms race.,"Altogether, things are going well.",It has cost me $100 altogether.
653,"Powders of aluminium, magnesium, silicon, etc. explode.",Many boxes are produced out of aluminium.,Aluminium is a metal.
654,I always liked mysterious characters more.,I've always wondered what it'd be like to have siblings.,This is always the way it has been.
655,The amateur singer won first in the talent show hands down.,"You are a professional, but I am an amateur.",My uncle is an amateur cricket player.
656,His aristocratic manners amaze me.,Tom never ceases to amaze me.,You never cease to amaze me.
657,The English ambassador demanded to meet with the President directly.,Mr Brown was acting in the capacity of ambassador.,The ambassador will be recalled from his present post soon.
658,What an ambiguous expression!,The meaning of this sentence is ambiguous.,The main feature of this scheme is still ambiguous.
659,It is Tom's ambition to go to the moon.,Sony inspires ambition among its employees.,His ambition was blasted by these repeated failures.
660,The ambitious man became intoxicated with his own success.,"Be ambitious, children.","Boys, be ambitious."
661,Call an ambulance.,Please send an ambulance.,Do you need an ambulance?
662,Some people want to amend the constitution.,The Diet is likely to amend this unpopular law.,We'll need to amend the contract so that we can pay you more.
663,The tower stood amid the ruins.,He is cool amid confusion.,They are amid the city noises.
664,You can number me among your friends.,You are now among the elite.,Divide the cake among you three.
665,I don't like families that quarrel amongst themselves.,Angels watch from above as men fight amongst themselves.,Virtue can only flourish amongst equals.
666,You'll be paid according to the amount of work you do.,We will pay you according to the amount of work you do.,Our total debts amount to ten thousand dollars.
667,,,
668,There's ample room in the attic.,Ten million yen will be ample for the project.,We have ample food.
669,This is the best amplifier on the market.,I built an amplifier yesterday.,My tape recorder is compatible with your amplifier.
670,Try to amplify your opportunity.,It was a mistake to amplify this debate with thoughtless responses.,We need to amplify their voice.
671,How will they amuse the children on a wet afternoon?,Small things amuse small minds.,You amuse me.
672,"Which kind of watch do you prefer, digital or analog?",My watch is analog.,"Nowadays, many children can't tell time on analog clocks."
673,,,
674,I see no analogy between your problem and mine.,I don't understand the analogy.,Such an analogy is inappropriate in this case.
675,"I beg to differ, as I disagree with your analysis of the situation.",We tried to project our analysis into the future.,We have to make a close analysis of the accident.
676,,,
677,Tom is analytical.,I'm analytical.,Tom's got an analytical mind.
678,Let's analyze the machine.,How would you analyze the situation?,We want to analyze your urine.
679,The council held a meeting to analyse the rescheduling.,You cannot analyse the data efficiently unless you draw a plot.,"When you analyse what he says, it seems somewhat naïve and simplistic."
680,English and German share a common ancestor.,All living beings would have evolved from a common ancestor.,All humans on Earth are descended from a common ancestor.
681,They usually use an anchor to hold a yacht in place.,The ship is at anchor in the harbor.,His mother's letters were an anchor to the boy.
682,Today is June 18th and it is Muiriel's birthday!,I may give up soon and just nap instead.,Everyone has strengths and weaknesses.
683,He began his lecture with a humorous anecdote.,The plural of anecdote is data.,She is more influenced by personal anecdote than I.
684,You're an angel!,A boy sleeping in bed seems to be an angel.,Be an angel and turn the radio down.
685,You have no cause for anger.,We were filled with anger against the murderer.,The speaker aroused the anger of the audience.
686,The angle would be too narrow.,Let's approach this problem from a different angle.,This table is at an angle.
687,Are you angry at what I said?,You must be careful not to make him angry.,"Don't be angry with me, for I did it for your sake."
688,The newspaper told of the mother's anguish at the death of her son.,He is in anguish over her child.,She takes a new lover while he is in anguish.
689,I missed a step on the stairs and I'm afraid I sprained my ankle.,"If I tried to wear shoes with heels that high, I'd sprain my ankle.",I slipped and twisted my ankle.
690,The mayor will shortly announce his decision to resign.,The mayor declared that he would announce the result of the investigation.,Tom found a new way to announce his news.
691,The radio announcer had a masculine voice.,This new announcer keeps stumbling.,This is the TV station where my uncle works as an announcer.
692,Muiriel likes to annoy me lately.,Those impossible suggestions just annoy me.,He made mistakes on purpose to annoy me.
693,The poem was composed by an anonymous author.,I want to remain anonymous in this.,You want to remain anonymous.
694,What did you answer?,Do you really need to ask the question to know the answer?,"If I gave no answer, I would not have spoken."
695,Sysko works like an ant.,"Hi Mr Ant, keeping up the good work today as well. Here's a sugar cube.",Work as the ant.
696,The TV antenna broke away in last night's storm.,The man tried to install his own antenna.,You'll get a clear picture with this antenna on the roof.
697,What results do you anticipate?,I anticipate that there will be trouble.,We anticipate it with much pleasure.
698,Can you tell me where the nearest antique shop is?,I'm looking for information on the Anderson Antique Shop in London.,This antique brazier no longer has any real utility.
699,The news added to his anxiety.,The boy got sick from anxiety.,The boy caused his mother great anxiety.
700,I have been anxious about your health.,I'm anxious to see you.,I've been anxious to meet you.
701,It's useless to keep on thinking any more.,Let me know if I need to make any changes.,I am alive even though I am not giving any sign of life.
702,It's simple. Just ask anybody.,There wasn't anybody in the house.,Is there anybody who knows first aid?
703,"I'm feeling ill, but I intend to go out anyhow.","It may rain, but I will go today anyhow.",Anyhow I will see him.
704,"If the world weren't in the shape it is now, I could trust anyone.","If anyone was to ask what the point of the story is, I really don't know.",It's not something anyone can do.
705,I won't ask you anything else today.,Let me know if there is anything I can do.,Anything that can be misunderstood will be.
706,"We objected, but she went out anyway.","Whether it's good or not, let's do it anyway.","The trucks had failed the inspection, but the drivers took them out anyway."
707,You may go anywhere.,You may go anywhere you like.,Do you feel at home anywhere?
708,You had better set some money apart for your wedding.,"Apart from earning money, I have no interest in real estate.","Apart from the plot, the book interested me."
709,What happened? There's water all over the apartment.,Is your apartment well maintained?,"It's a small noisy apartment, but it's where I live and I call it home."
710,I think that you ought to apologize to her.,"You must apologize to her, and that at once.",All you have to do is apologize for being late.
711,"If you're going to apologise, sooner is better.","Don’t apologise, I understand perfectly.",We apologise for the inconvenience.
712,You don't have to make an apology.,You owe me an apology for that.,I must offer you an apology for coming late.
713,,,
714,That school is equipped with the latest gymnastics apparatus.,Something is wrong with the experimental apparatus.,Don't use this apparatus near water.
715,It was apparent that there was no way out.,It was apparent to everybody that our team was stronger.,So a new problem soon became apparent.
716,The students were animated by the agitator's appeal.,Television has a great appeal for him.,The production has visual appeal for the audience.
717,The king will appear in person tomorrow evening.,"I waited for an hour, but he didn't appear.",Talk of the devil and he is sure to appear.
718,The surgeon took out his patient's appendix.,The appendix is about 10 cm long.,I am going to remove the appendix.
719,Thanks to you I've lost my appetite.,A short stroll along the beach gave me a good appetite for breakfast.,I have little appetite due to lack of exercise.
720,I applaud your decision to study medicine.,I applaud your decision to quit smoking.,The whole audience got up and started to applaud.
721,There is an apple on the desk.,There is one apple on the desk.,There is an apple under the desk.
722,The electrical appliance must have been damaged in transit.,That's the only appliance that I have.,I'm appliance shopping.
723,Is that rule applicable to us foreigners?,This law is applicable to all cases.,This remark is not applicable to you.
724,It is important that you attach your photo to the application form.,External application only.,Please fill in the application form and send it back by November 2nd.
725,You should apply for that post.,What you have said doesn't apply to you.,What you said does not apply to this case.
726,The committee met and discussed whom to appoint to the post.,We must appoint a new teacher soon.,Just appoint the time and place and I'll be there.
727,I canceled my appointment because of urgent business.,"I am very sorry, but I must cancel our appointment for February 27.",A sudden illness forced her to cancel her appointment.
728,,,
729,,,
730,His new theory is beyond my apprehension.,He detected in her voice a note of apprehension.,His apprehension greatly hinders his progress.
731,We suggested Kyoritsu Bussan approach you for assistance.,I will show you a new approach to foreign language learning.,We should approach this problem from different angles.
732,Let no one appropriate a common benefit.,"But ""experiment"" is not the appropriate word.",These clothes are not appropriate for a cold winter day.
733,"With your approval, I would like to offer him the job.",She grinned her approval.,The plan is subject to his approval.
734,I approve of your plan.,I entirely approve of what you say.,I don't approve your decision.
735,What's their approximate worth?,His witness is approximate to the truth.,We can only know her approximate age.
736,You are apt to be forgetful.,The rich are apt to look down upon the poor.,The rich are apt to look down on people.
737,Our decision to go to Portugal was quite arbitrary.,Lemma 5 cannot be generalized to arbitrary artinian rings.,"No one shall be subjected to arbitrary arrest, detention or exile."
738,Cats arch their backs.,He was the last Arch Seneschal of the Holy Roman Empire.,A rainbow is a seven-colour arch in the sky.
739,Rome is famous for its ancient architecture.,The architecture in this part of the city is ugly.,I was deeply impressed by Roman architecture.
740,Let's not argue for the sake of arguing.,There's no need for us to argue about this.,Some people argue that technology has negative effects.
741,Your argument is not any more convincing than that of my stubborn father.,His argument is more radical than yours.,"From an objective viewpoint, his argument was far from rational."
742,"Should anything arise, she will be prepared for it.",How did this misunderstanding ever arise?,"When we think this way, many problems arise."
743,The boy can solve any problem in arithmetic.,Accuracy is important in arithmetic.,Arithmetic deals with numbers.
744,It costs an arm and a leg.,I've got mosquito bites all over my arm.,I have a very sore arm where you hit me.
745,The town was defended by a large army.,Our army broke through the enemy defenses.,Our army took the kingdom by surprise.
746,Events of that type generally arouse suspicion.,His opinion does not arouse any sympathy in his colleagues.,Don't arouse him from his sleep!
747,Let's try to arrange something.,I'll arrange for someone to pick you up at your home.,The director used his power to arrange a special place in the cinema world.
748,The troops were in battle array.,Tom has an extraordinary array of trophies.,"The door slowly opened; and St. Nicholas, in full array, stood before them."
749,You are under arrest.,He resisted arrest violently.,They chased the man to arrest him.
750,All you have to do is wait for his arrival.,Our arrival at Narita was delayed by an hour.,"On his arrival at the station, he called a taxi."
751,When do we arrive?,The train from Geneva will arrive at the station.,You had better not start until they arrive.
752,Paul didn't become arrogant even though he was rich.,That girl is arrogant because of her beauty.,He is arrogant toward us.
753,An arrow passed through the hawk.,The arrow fell wide of the mark.,William Tell shot an arrow at the apple on his son's head.
754,Who buys this type of art?,"Life is not an exact science, it is an art.",Her garden is a work of art.
755,The bullet cut through an artery.,I've got a bum ticker: coronary artery disease.,I've got a bad heart: coronary artery disease.
756,Sometimes he has difficulty being articulate about his views.,Only a handful of activists in our union are articulate.,Our baby is not yet articulate.
757,I am not an artist. I never had the knack for it.,The artist captured the charm of the lady.,Picasso is a famous artist.
758,It is the most artistic picture I have ever taken.,He turned his artistic gifts to good account by becoming a painter.,He was raised in an artistic family.
759,The skyscraper's elevators ascend at an astonishing rate of speed.,He was going to ascend to the throne.,Who of those who have been cast down by sin shall ascend?
760,We will first ascertain the cause of the disaster.,"As I heard the story secondhand, I can't ascertain the truth of it.",It is difficult to ascertain what really happened.
761,Don't drop cigarette ash on the carpet.,He picked up the ash-tray.,Acid soil is neutralised by ash.
762,Aren't you ashamed to talk like that?,You ought to be ashamed.,You should be ashamed of your ignorance.
763,The boat was cast ashore.,His boat was washed ashore on a desert island.,"When he left the navy, he found it hard to adjust to life ashore."
764,"Aside from his salary, he receives money from investments.","Looks aside, she is very good-natured.",There's nothing left to do aside from packing.
765,Why do you ask?,"If anyone was to ask what the point of the story is, I really don't know.",I won't ask you anything else today.
766,I was so excited that I could not fall asleep.,"On my way home, I fell asleep on the train and rode past my station.",On his return he found her daughter asleep.
767,Imagination affects every aspect of our lives.,That altered the aspect of the case.,We must consider the question from every aspect.
768,I aspire to fame.,"The basic question is, what vision do you aspire to?",Sometimes little kids aspire to be strange things.
769,He was ignorant of the plot to assassinate him.,They attempted to assassinate the president.,The plot to assassinate the president was discovered just in time.
770,We were not prepared for the assault.,The middle aged man was charged with assault.,"They will make an assault on the summit, weather permitting."
771,This bookcase is easy to assemble.,"The factory now under construction will assemble 3,000 VCR units per day.",It is rather difficult to assemble a watch.
772,The assembly consisted of people concerned about human rights.,The assembly voted to protest against any nuclear armament.,There were a great many people present at the assembly.
773,You'd better try to assert yourself more.,I am going to assert his guilt.,Justice will assert itself.
774,How do you assess your students?,You must assess the situation and act accordingly.,She can assess investments very accurately.
775,She will be an asset to the Purchasing Department.,I'm sure you'll be a valuable asset to our company.,Many people these days are asset-rich but time-poor.
776,I have to assign more men to that work.,Ask your teacher and he will assign you one.,Tom couldn't decide who to assign the job to.
777,When will your assignment be completed?,Mary has finished her Japanese assignment.,"No one forgot their assignment, did they?"
778,You must assimilate into new surroundings.,The weak easily assimilate the opinions of the strong.,They did not assimilate with the natives.
779,The airplane used a rocket motor to assist with takeoff.,I would like you to assist me with my gardening.,I often assist my sister to do her homework.
780,Without your assistance I would have failed.,May I make so bold as to request your assistance?,We suggested Kyoritsu Bussan approach you for assistance.
781,His official title at the company is Assistant to the President.,Mr White called his assistant over and said the following:,"So, the assistant returned $1 to each man."
782,You had better not associate with those men.,We associate Darwin with the theory of evolution.,We often associate black with death.
783,We assume that he is honest.,The question began to assume a new character.,The problem began to assume an international character.
784,What he said bears out my assumption.,Your assumption that his death was an accident seems to be wrong.,She put on an assumption of ignorance.
785,She had something of the assurance of a famous actress.,She answered all the questions with assurance.,OK. I'm just next door so if you can get that assurance let me know.
786,Take it easy. I can assure you that chances are in your favor.,Take it easy. I can assure you that everything will turn out fine.,Avoiding trouble will not always assure safety.
787,Always do right. This will gratify some people and astonish the rest.,Do the right thing. It will gratify some people and astonish the rest.,Some people never fail to astonish me.
788,We went astray in the woods.,I have gone astray somewhere in my calculations.,My letter must have gone astray in the mail.
789,The astronaut was slow to get used to the condition of weightlessness.,The astronaut was seen to land on the moon.,The astronaut had to conduct many experiments in the space shuttle.
790,Maya priests learned much about astronomy.,What interests me greatly is astronomy.,I learned much about astronomy from him.
791,The athlete was full of spirit and confidence.,An athlete must keep in good condition.,That athlete won three times in a row in this tournament.
792,This place has a mysterious atmosphere.,"According to scientists, the atmosphere is getting warmer year after year.",The rocket blasted out of the atmosphere.
793,A water molecule has two hydrogen atoms and one oxygen atom.,The universe is a gigantic atom and everything is affected by it.,Who first split the atom?
794,It is important that you attach your photo to the application form.,Attach this label to your package.,You must attach this label to your suitcase.
795,Wolves won't usually attack people.,I had an angina attack.,The reformers were subject to every attack from the Establishment.
796,I have to attain my purpose at all costs.,That aim is impossible to attain.,Everyone strives for efficiency but few seem to attain it.
797,Your attendance at classes was irregular.,Regular attendance is important in a foreign language class.,The attendance at the party was larger than had been expected.
798,A flight attendant walks up to the boys.,The attendant is good at flattery.,The cabin attendant is good at flattery.
799,You must pay attention to his advice.,You should pay more attention to what he says.,You must pay attention to him.
800,They were most attentive to his speech.,The listeners stood in an attentive attitude.,She is very attentive to her grandmother.
801,What do you make of his attitude towards us these days?,Don't take that dramatic attitude all of a sudden.,Everybody took a hostile attitude toward illegal aliens.
802,You should confer with your attorney on this matter.,You'd better consult an attorney beforehand.,The district attorney indicted him for theft and murder.
803,A model must have an attractive body.,Mary has as attractive a personality as her sister.,"Your offer is very attractive, but we will have to think about it."
804,We attribute Edison's success to intelligence and hard work.,We attribute his success more to hard work than to genius.,It's not fair to attribute your failure to your parents.
805,Audio in Tatoeba sentences are provided by Shtooka.,How can I extract the audio from a video clip?,How do I contribute audio in Tatoeba?
806,This financial audit also includes an evaluation of the company's assets.,You will be in trouble if you become the target of a tax audit.,The audit team interviewed staff and did a walkthrough of the offices.
807,I've staked out places for us in the front row of the auditorium.,"The auditorium is terribly stained. It is, in part, due to acid rain.",The crowd poured out of the auditorium.
808,,,
809,What does your aunt do?,My aunt lives in New York.,Had you met her aunt before you married May?
810,,,
811,His cordiality may not be authentic.,Many authentic nobles did not have a nobiliary particle in their names.,Where can I find an authentic food restaurant?
812,Richard Roberts is the author of numerous books.,Dickens was the author of 'Oliver Twist'.,The author doesn't display much talent in his book.
813,Teachers shouldn't fall back on their authority.,The students revolted against authority.,By what authority do you order me to do this?
814,Most workers get an automatic pay raise every year.,This is an automatic door.,The automatic doors opened and Tom got in.
815,,,
816,Falling interest rates have stimulated the automobile market.,The city is most famous for its automobile industry.,The automobile company laid off 300 workers.
817,We supply parts to the auto manufacturer.,The building you see over there is an auto factory.,How did you come by an admission ticket for the auto show free of charge?
818,Kyoto is most beautiful in autumn.,In late summer and autumn one can see the leaves change colour.,The rain made the autumn day dismal.
819,Esperanto is the most popular auxiliary language ever invented.,A billion international auxiliary languages is never enough.,There is very little difference between the auxiliary verbs.
820,You had better avail yourself of this opportunity.,Crying is of no avail.,You should avail yourself of every opportunity to learn.
821,"We are sorry, the person you are trying to contact is not available.",Are seats available?,There is no sense in standing when there are seats available.
822,The ambulance broke down in the middle of the busy avenue.,We walked along an avenue of tall poplars.,New York's Fifth Avenue is comparable to Ginza.
823,Your marks were well below average this term.,Your work is below average.,Your English composition is above the average.
824,Skillful diplomacy helps to avert war.,No one can avert death.,Aliens had the power to avert war on Earth.
825,The aviation expert analyzed the statistics in detail.,Volcanic ash brought aviation to a standstill.,The history of the development of aviation is fascinating.
826,I avoid crossing the street here if I am in a hurry.,"Thanks to the opportunity, we were able to avoid substantial effort.",It is essential to keep calm in a time of crisis and avoid going haywire.
827,I await your arrival.,I eagerly await your decision.,We await the visit of our uncle with a happy heart.
828,The household was already awake at 6 in the morning.,Last night my house was robbed while I was still awake.,Now I'm wide awake.
829,Are you aware of how much she loves you?,Are you aware that Okinawa is closer to China than to Honshu?,A problem of whose importance we are fully aware.
830,You're just running away from life's problems.,I want a boat that will take me far away from here.,There is no distance on this earth as far away as yesterday.
831,I'm afraid there's been some awful news.,It's an awful shame your wife couldn't come.,The sound of an awful scream made him shudder.
832,"After an awkward pause, Bill took her by the hand and dragged her upstairs.",I felt very awkward.,No one can say for sure how this awkward state of affairs came about.
833,She always has some axe to grind.,The axe does not go to a humble neck.,Many revolutionaries have been beheaded by the axe of a guillotine.
834,The hand on its axis turns at 10 revolutions per hour.,It's common knowledge that the earth turns on its axis.,The earth revolves on its axis.
835,This baby penguin is too cute!,He's sleeping like a baby.,The company recalled all the baby food made in July.
836,I am a bachelor.,He remained a bachelor all his life.,Tom is a bachelor.
837,I will be back soon.,I'll call them tomorrow when I come back.,"Back in high school, I got up at 6 a.m. every morning."
838,Pay will be based on experience and educational background.,Let's get a picture of us with the sea in the background.,That shows his theoretical background.
839,The dog walked backward.,Social conditions are going backward rather than forward.,The actress fell backward over the stage.
840,You've got your priorities backwards.,"Rev. King fell backwards, shot in the neck.",Say the alphabet backwards.
841,Would you like bacon or sausage?,Bacon and eggs is his order.,"If ashes were flour and peat was bacon, we'd eat bacon pancakes every day."
842,,,
843,It's too bad that I don't need to lose weight.,Damn! It's not bad!,Is it bad?
844,Each boy student has a school badge on his cap.,I want your name and badge number.,I don't have a badge.
845,I miss you badly.,We will miss you badly.,Don't speak badly of him in his absence.
846,"Hi, Fred, how about badminton on Thursday?","I used to play badminton, but I don't anymore.",Tom didn't play badminton yesterday.
847,"Without your advice, I would have been robbed of my bag.",Here is your bag.,Only you can carry the bag.
848,Kyoko had the kindness to carry my baggage for me.,I hope this makes it through baggage inspection.,"Would you keep this baggage, please?"
849,"If you want to stay a member of this club, you have to fish or cut bait.",I put a bait on a hook.,"Before he went fishing, he dug up some worms for bait."
850,I took a cooking class last spring and learned to bake bread.,I like to bake bread and give a loaf to my friend Mie.,Did you really bake the pie by yourself?
851,Excuse me. Where is the bakery?,She is buying a cake in the bakery.,The bakery is around the corner.
852,The balance at the bank stands at two million yen.,It took me several days to balance the company books.,We should strike a balance between our expenditure and income.
853,"Sure enough, the ghost appeared on the balcony.",I'm on the balcony.,The balcony commands a splendid view.
854,He talks with the quiet man. Don't you think he's a little bald on top?,"Don't worry too much, or you'll go bald.",My father is as bald as a billiard ball.
855,The ball rolled into the stream.,The ball curved slightly.,The ball bounced over the wall.
856,A ballet theater is a place in which I can study motion.,He stands alone as a conductor of ballet music.,"At first I didn't like ballet, but I've come to like it by degrees."
857,The balloon descended gradually as the air came out.,A balloon is ascending into the sky.,The balloon floated off into the west.
858,International observers counted up the ballot.,Tom is filling out a ballot.,It's important to complete your ballot.
859,Have you ever eaten a banana pie?,"However, Bill said ""banana.""",The monkey took a banana by means of the stick.
860,The band played marvellously under the baton of a new conductor.,The band played several marches.,The band sprang to life.
861,The nurse wound my leg with a bandage.,The nurse gently put a bandage around my head.,She applied a bandage to my hurt finger.
862,They set off fireworks with a great bang.,Don't shut the door with a bang.,The dynamite went off with a bang.
863,You can get a loan from a bank.,You can bank on that.,We will make the payment by bank transfer.
864,"We were financially troubled, in short, we were bankrupt.",The company went bankrupt.,"That company is, in effect, bankrupt."
865,There's a rumor in the air that the firm is going into bankruptcy.,There's another rumor in the air that the firm is going into bankruptcy.,The company is on the verge of bankruptcy.
866,"Like the banner, the design was based around the colour white.","If you want to put your banner on my site, just send me the code.",Many people gathered under this banner of freedom.
867,We'll have a barbecue at the beach.,How about holding a barbecue party next Sunday?,The men are having a barbecue.
868,Is there a barber shop in the hotel?,The barber gave him a haircut.,I had my hair cut at the barber shop yesterday.
869,A bare word of criticism makes her nervous.,It won't be long before the trees are bare.,The hill is bare of trees.
870,I barely missed being struck.,I had barely got home when the storm broke.,We could barely make out two figures in the dark.
871,The media sells a trace of hatred at bargain prices.,I didn't bargain for Mary's coming so soon.,Let's take advantage of the bargain sale and save money.
872,We stored the hay in the barn.,The farmer keeps his tractor in the barn.,"The barn was small, but it was strong."
873,The GOP accused the Democrats of pork barrel politics.,Middle Eastern oil prices jumped by five dollars per barrel.,One rotten apple spoils the barrel.
874,Show your ticket at the barrier.,Do you think they'll break the 10-second barrier in the 100-meter dash?,High tariffs have become a barrier to international trade.
875,What do you base your theory on?,"On base and off, buckle your seat-belts.",We found it very hard going back to our base camp in the blizzard.
876,He as well as you likes baseball.,We students all like baseball.,We would play baseball after school in those days.
877,The burglar locked the couple in the basement.,The laundry room is in the basement.,The basement has been made over into a workshop.
878,The basin of a river usually has rich farmland.,This district forms a basin.,A student was run over by a car on Basin Street.
879,It is important to strengthen the basis.,This theory was founded on a scientific basis.,"Food, clothing and shelter are the basis of life."
880,Mary set the basket on the table.,Quite a lot of rotten apples were in the basket.,The letter was consigned to the wastepaper basket.
881,Mike doesn't practice basketball on Monday.,Mike likes to play basketball.,I play center in football and basketball.
882,A bat flying in the sky looks like a butterfly.,"Without his glasses, he is as blind as a bat.","We didn't help him, so he did it off his own bat."
883,There were nineteen graduates for the batch of Spanish class.,Another batch of cookies are coming out of the oven.,What is the batch size?
884,I'm going to take a bath.,Soon the bath was cool enough for him to get into.,There's nothing like a good hot bath.
885,Beth told Chris to bathe or she will not agree to date him.,It is dangerous to bathe in this river.,We used to bathe in this river in our childhood.
886,Where is the bathroom?,The bathroom is occupied now.,The bathroom is at the end of the hall.
887,The battery gave out.,The battery ran down.,Take the battery off the machine.
888,We won the battle.,We fought a hard battle.,We were lucky to win the battle.
889,"Standing as it does on a hill, the hotel commands a fine view of the bay.",We were granted the privilege of fishing in this bay.,You have only to push the button to open the bay window.
890,"I was planning on going to the beach today, but then it started to rain.","I live near the sea, so I often get to go to the beach.","If you're going to the beach, count me in."
891,A beam of sunlight came through the clouds.,This beam won't hold the weight of the second story.,This lamp sends out a powerful beam.
892,I don't care a bean.,Jerry is the bean counter for our company.,Bean sprouts are eaten as a salad in America.
893,What?! You ate my chocolate bear?!,"It's not serious, I don't bear him a grudge.",Your efforts will bear fruit someday.
894,Have you got a beard already?,Please shave my beard.,It is pleasant to shave off my beard.
895,A bear is a friendly beast compared to a tiger.,The food was not fit for man or beast.,The primitive man was frightened at the sign of the beast.
896,He won't beat me.,I beat him completely in the debate.,Don't beat around the bush.
897,Beauty lies in the eyes of the one who sees.,Kyoto is internationally famous for its scenic beauty.,The charm of Kyoto consists of the beauty of its old temples.
898,It's because you don't want to be alone.,That's because you're a girl.,Every person who is alone is alone because they are afraid of others.
899,I have to go to bed.,"Don't stay in bed, unless you can make money in bed.",It would be better for you to stay in bed today.
900,What happened to the girl you were sharing the bedroom with?,I found myself lying in my bedroom.,We live in a three-bedroom house.
901,You are always as busy as a bee.,The bee alighted on the flower.,A bee flew out of the window.
902,Beef is expensive nowadays.,"Beef, please.",Have you got any preference between beef and lamb?
903,I went to drink a beer with friends.,Please drink the beer before it goes flat.,Do you have any imported beer?
904,"""Haven't we met somewhere before?"" asked the student.",Wash before first wearing.,Don't open before the train stops.
905,We tried to eliminate all danger beforehand.,Let's get things ready beforehand.,Please let me know the schedule beforehand.
906,"I beg to differ, as I disagree with your analysis of the situation.",I beg your pardon?,"Stop yelling, I beg you."
907,"Beside you, I'm only a beginner at this game.","Tom's a beginner, but he catches on fast.",Do you take me for a complete beginner?
908,Your sense of humor is beginning to exert itself.,The flowers are beginning to grow and everything is becoming green.,It's beginning to rain. Please share my umbrella.
909,"On behalf of my classmates, let me say a few words of thanks to you.","On behalf of the company, I welcome you.",The brightest student expressed gratitude on behalf of his classmates.
910,You are old enough to behave yourself.,"Now that you're grown up, you must not behave like that.","Now that you are grown up, you must not behave like a child."
